,station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,date_int
9431,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-06-21,66.92,89.06,78.26,6.934514,350.0,25.948504,0.0,0.0,0.0,20170621
9432,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-07-07,71.96,89.06,77.54,6.934514,350.0,25.053728,0.0,0.0,0.22834658,20170707
9433,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-07-16,62.06,89.06,76.46,3.802798,350.0,18.119214,0.0,0.0,0.0,20170716
9434,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-07-21,75.02,93.02,86.18,4.697574,350.0,17.000744,0.0,0.0,0.0,20170721
9435,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-08-13,66.02,84.02,73.76,4.47388,350.0,18.119214,0.0,0.0,0.0,20170813
9436,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-08-16,68.0,89.06,76.82,2.908022,350.0,17.000744,0.0,0.0,0.0,20170816
9437,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-08-20,64.94,86.0,75.02,3.35541,350.0,19.01399,0.0,0.0,0.0,20170820
9438,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-08-30,57.02,78.08,66.74,4.250186,350.0,17.000744,0.0,0.0,0.0,20170830
9439,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-09-09,50.0,71.06,61.88,5.368656,350.0,23.040482,0.0,0.0,0.0,20170909
9498,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-01-05,26.24,41.0,,4.921268,350.0,19.01399,,,0.0,20170105
9499,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-03-05,21.2,37.04,,9.171454,350.0,25.053728,,,0.0,20170305
9500,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-04-01,46.94,55.04,,14.54011,350.0,33.106712,0.0,0.0,0.0,20170401
9501,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-04-02,42.98,57.92,,8.052984,350.0,23.040482,0.0,0.0,0.0,20170402
9502,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-08-02,69.98,82.04,,5.144962,350.0,16.105968,0.0,0.0,0.0,20170802
9503,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-08-16,71.96,82.94,,5.368656,350.0,14.092722,0.0,0.0,0.0,20170816
9504,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-08-30,62.96,75.02,,7.158208,350.0,23.040482,0.0,0.0,0.03149608,20170830
11597,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-01-06,29.12,37.94,,12.526864,340.0,25.948504,,,0.0,20170106
11598,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-01-19,32.0,51.08,,4.921268,340.0,14.092722,,,0.0,20170119
11599,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-02-28,41.0,64.04,,5.816044,340.0,19.908766,,,0.09055123,20170228
11600,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-03-03,30.2,44.96,,14.316416,340.0,38.02798,,,0.01181103,20170303
11601,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-03-14,27.14,42.08,,24.158952,340.0,46.080964,,,1.75984347,20170314
11602,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-03-20,37.04,53.06,,7.158208,340.0,21.922012,,,0.0,20170320
11603,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-04-01,48.02,62.06,,14.763804,340.0,31.988242,,,0.0,20170401
11604,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-04-26,57.02,64.94,,7.605596,340.0,21.922012,,,0.01181103,20170426
11605,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-05-03,51.98,69.08,,13.42164,340.0,34.001488,,,0.0,20170503
11606,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-05-15,53.96,73.94,,13.42164,340.0,42.054472,,,0.0,20170515
11607,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-07-02,71.96,89.96,,4.921268,340.0,12.974252,,,0.0,20170702
11608,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-07-29,69.98,73.94,,16.77705,340.0,38.02798,,,0.31102379,20170729
15283,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-04-20,53.96,78.98,,5.816044,340.0,27.96175,,,0.1181103,20170420
15284,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-06-04,57.02,87.08,,6.263432,340.0,25.948504,,,0.0,20170604
15306,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-03-19,33.08,51.08,41.18,8.94776,340.0,27.96175,0.1181103,0.0,0.27165369,20170319
15307,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-03-21,44.06,62.06,50.9,5.816044,340.0,19.908766,0.0,0.0,0.0,20170321
15308,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-05-13,46.94,57.92,51.62,8.500372,340.0,23.040482,0.0,0.0,0.5905515,20170513
15309,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-06-13,69.98,96.98,83.84,5.816044,340.0,19.01399,0.0,0.0,0.0,20170613
15310,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-08-08,62.06,80.06,71.42,4.026492,340.0,21.922012,0.0,0.0,0.0393701,20170808
15311,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-08-23,66.02,82.94,79.52,6.039738,340.0,19.908766,0.0,0.0,0.0,20170823
15312,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-09-15,60.98,82.94,72.5,2.460634,340.0,18.119214,0.0,0.0,0.0,20170915
15400,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-01-07,18.14,30.2,,16.105968,340.0,36.90951,,,0.48818924,20170107
15401,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-01-09,7.16,24.26,,4.47388,340.0,14.987498,,,0.0,20170109
15402,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-01-15,35.06,44.06,,5.816044,340.0,17.000744,,,0.0,20170115
15403,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-01-19,32.0,48.92,,2.013246,340.0,18.119214,,,0.0,20170119
15404,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-02-03,25.16,37.04,,5.816044,340.0,25.053728,,,0.0,20170203
15405,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-02-12,41.0,57.92,,7.158208,340.0,27.96175,,,0.05118113,20170212
15406,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-02-25,46.94,60.08,,6.71082,340.0,34.001488,,,0.40944904,20170225
15407,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-03-04,22.1,41.0,,10.06623,340.0,29.974996,,,0.0,20170304
15408,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-03-16,25.16,42.08,,11.408394,340.0,34.001488,,,0.0,20170316
15409,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-03-20,33.98,51.98,,6.934514,340.0,21.922012,,,0.0,20170320
15410,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-04-05,48.92,71.96,,8.500372,340.0,27.066974,0.0,0.0,0.0,20170405
15411,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-04-26,50.0,62.06,,3.579104,340.0,14.092722,0.0,0.0,0.0,20170426
