,station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,date_int
30931,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-01-17,33.98,41.0,,4.697574,320.0,19.908766,,,0.16141741,20170117
30932,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-01-25,37.94,57.92,,7.605596,320.0,23.935258,,,0.0,20170125
30933,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-02-09,21.2,44.96,,17.671826,320.0,40.936002,,,0.40157502,20170209
30934,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-02-17,22.1,48.92,,2.684328,320.0,10.961006,,,0.0,20170217
30935,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-03-10,25.16,48.02,,15.65858,320.0,44.962494,,,0.22047256,20170310
30936,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-06-09,53.96,82.04,,7.381902,320.0,31.093466,,,0.0,20170609
30937,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-07-08,66.92,86.0,,8.276678,320.0,42.054472,,,0.18110246,20170708
30938,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-08-16,68.0,87.98,,2.460634,320.0,12.974252,,,0.0,20170816
30939,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-08-24,59.0,78.08,,4.697574,320.0,29.08022,,,0.14960638,20170824
30970,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-05-16,44.96,82.04,64.58,2.908022,320.0,14.987498,0.0,0.0,0.0,20170516
30971,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-06-11,62.96,93.02,79.7,5.816044,320.0,21.027236,0.0,0.0,0.0,20170611
30972,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-06-19,69.98,91.04,81.68,9.395148,320.0,36.90951,0.0,0.0,0.90944931,20170619
30973,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-07-03,68.0,91.94,81.14,4.921268,320.0,21.922012,0.0,0.0,0.0,20170703
30974,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-07-14,71.96,93.92,83.3,3.802798,320.0,29.08022,0.0,0.0,0.14960638,20170714
30975,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-07-25,64.94,80.96,74.12,7.158208,320.0,27.96175,0.0,0.0,0.0,20170725
30976,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-08-15,69.98,78.98,74.66,1.342164,320.0,14.987498,0.0,0.0,0.75984293,20170815
30977,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-08-19,68.0,87.98,79.34,4.47388,320.0,38.922756,0.0,0.0,0.0,20170819
31120,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-01-26,41.0,62.06,,10.513618,320.0,38.922756,,,0.05905515,20170126
31121,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-01-30,24.26,39.02,,7.605596,320.0,25.053728,,,0.14173236,20170130
31122,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-03-14,30.2,53.06,,15.882274,320.0,48.09421,,,1.31102433,20170314
31123,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-05-08,42.98,60.98,,8.94776,320.0,36.014734,0.0,0.0,0.0,20170508
31124,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-05-15,51.08,71.96,,10.289924,320.0,33.106712,0.0,0.0,0.0,20170515
31125,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-08-12,69.98,75.92,,4.921268,320.0,19.908766,0.0,0.0,2.77165504,20170812
34052,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-01-04,35.96,55.94,,9.842536,310.0,25.948504,,,0.0,20170104
34053,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-01-24,39.02,48.02,,17.89552,310.0,36.014734,,,0.01181103,20170124
34054,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-01-25,35.96,55.04,,7.158208,310.0,25.053728,,,0.0,20170125
34055,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-01-27,30.2,44.96,,10.737312,310.0,29.08022,,,0.0,20170127
34056,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-02-10,22.1,39.02,,9.395148,310.0,27.96175,,,0.0,20170210
34057,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-02-16,31.1,42.08,,16.77705,310.0,36.014734,,,0.0,20170216
34058,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-04-07,42.08,51.98,,19.01399,310.0,38.02798,,,0.0,20170407
34059,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-06-06,60.98,78.98,,8.724066,310.0,25.053728,,,0.0,20170606
34060,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-07-31,59.0,86.0,,4.026492,310.0,12.079476,,,0.0,20170731
34061,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-08-05,64.04,80.96,,11.1847,310.0,27.96175,,,0.0,20170805
34062,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-08-16,73.04,87.98,,4.250186,310.0,12.079476,,,0.0,20170816
34063,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-09-07,53.96,73.94,,7.158208,310.0,23.040482,,,,20170907
39138,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-01-07,16.16,24.26,,11.855782,310.0,29.974996,,,0.0,20170107
39139,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-02-04,19.22,37.04,,8.052984,310.0,27.96175,,,0.0,20170204
39140,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-03-08,44.06,62.96,,14.316416,310.0,40.041226,,,0.0393701,20170308
39141,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-03-14,20.12,35.06,,17.448132,310.0,40.936002,,,0.31889781,20170314
39142,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-03-15,18.14,29.12,,21.698318,310.0,46.97574,,,0.0,20170315
39143,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-04-01,42.98,53.96,,13.42164,310.0,33.106712,,,0.01181103,20170401
39144,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-04-02,37.04,64.04,,4.697574,310.0,19.01399,,,0.0,20170402
39145,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-04-17,57.92,71.96,,5.59235,310.0,18.119214,,,0.18897648,20170417
39146,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-05-14,46.04,73.94,,12.750558,310.0,38.922756,,,0.0,20170514
39147,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-05-19,69.08,89.96,,7.158208,310.0,23.935258,,,0.0,20170519
39148,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-05-31,64.04,80.96,,6.71082,310.0,31.988242,,,0.03149608,20170531
39149,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-06-03,55.94,82.04,,6.934514,310.0,33.106712,,,0.0,20170603
39150,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-06-21,64.04,87.98,,6.71082,310.0,33.106712,,,0.01968505,20170621
39151,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-06-27,62.06,78.08,,7.605596,310.0,25.053728,,,0.0,20170627
39152,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-07-04,71.06,89.06,,4.250186,310.0,40.041226,,,0.90157529,20170704
39153,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-07-15,69.08,86.0,,7.605596,310.0,21.922012,,,0.05905515,20170715
39154,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-07-25,64.04,77.0,,6.934514,310.0,19.908766,,,0.0,20170725
39155,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-08-05,64.94,78.08,,9.395148,310.0,29.08022,,,0.0,20170805
39156,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-08-13,62.06,82.04,,4.921268,310.0,16.105968,,,0.0,20170813
39157,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-08-19,64.94,87.98,,5.144962,310.0,34.001488,,,0.24015761,20170819
39158,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-08-23,66.02,82.04,,6.71082,310.0,19.01399,,,0.0,20170823
39159,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-09-16,62.06,82.04,,1.789552,310.0,10.06623,,,0.0,20170916
39180,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-01-01,33.98,53.96,45.32,4.921268,310.0,19.908766,0.0,0.0,0.0,20170101
39181,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-01-07,17.24,25.16,23.36,9.395148,310.0,25.948504,0.5118113,0.0,0.03149608,20170107
39182,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-02-03,27.14,37.04,33.62,9.171454,310.0,35.119958,0.0,0.0,0.0,20170203
39183,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-02-17,20.12,51.08,32.9,4.697574,310.0,17.000744,0.0,0.0,0.0,20170217
39184,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-02-26,28.22,46.04,41.72,10.961006,310.0,31.093466,0.0,0.0,0.0,20170226
39185,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-03-28,51.98,69.98,59.36,5.144962,310.0,23.040482,0.0,0.0,0.29921276,20170328
39186,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-04-01,44.06,57.92,48.92,11.408394,310.0,29.974996,0.0,0.0,0.0,20170401
39187,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-04-17,51.98,71.96,68.54,5.59235,310.0,21.027236,0.0,0.0,0.20866153,20170417
39188,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-06-27,60.08,80.06,72.68,6.263432,310.0,21.922012,0.0,0.0,0.0,20170627
39336,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-01-25,41.0,57.92,,7.158208,310.0,25.948504,,,0.0,20170125
39337,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-02-01,30.2,48.02,,1.11847,310.0,6.934514,,,0.0,20170201
39338,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-02-02,32.0,51.08,,3.802798,310.0,19.01399,,,0.01181103,20170202
39339,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-02-09,27.14,51.08,,16.105968,310.0,48.09421,,,0.55905542,20170209
39340,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-02-13,31.1,46.94,,15.211192,310.0,44.067718,,,0.0,20170213
39341,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-02-15,35.06,48.92,,7.381902,310.0,36.90951,,,0.33858286,20170215
39342,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-07-23,73.04,89.06,,5.59235,310.0,23.935258,0.0,0.0,0.87007921,20170723
42134,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-02-25,46.04,71.96,,11.632088,300.0,40.041226,,,0.29921276,20170225
47006,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-01-06,18.14,27.14,,7.381902,300.0,19.908766,,,0.0,20170106
47007,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-01-08,12.2,21.2,,16.77705,300.0,36.90951,,,0.0,20170108
47008,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-01-24,35.06,44.96,,11.408394,300.0,29.08022,,,0.03149608,20170124
47009,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-02-03,24.26,33.08,,10.289924,300.0,27.96175,,,0.0,20170203
47010,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-02-06,33.98,60.98,,5.816044,300.0,25.053728,,,0.0,20170206
47011,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-02-10,20.12,33.98,,10.06623,300.0,29.974996,,,0.0,20170210
47012,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-02-12,37.04,53.06,,9.618842,300.0,59.949992,,,0.35826791,20170212
47013,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-02-13,29.12,41.0,,17.671826,300.0,46.97574,,,0.0,20170213
47014,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-02-20,42.08,62.96,,6.934514,300.0,19.01399,,,0.0,20170220
47015,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-03-12,20.12,37.04,,8.276678,300.0,27.96175,,,0.0,20170312
47016,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-03-16,23.18,37.94,,14.987498,300.0,34.001488,,,0.0,20170316
47017,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-03-28,51.08,66.02,,5.59235,300.0,19.908766,,,0.22834658,20170328
47018,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-04-07,35.06,44.96,,17.224438,300.0,40.936002,,,0.0,20170407
47019,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-04-29,64.94,86.0,,7.158208,300.0,27.066974,,,0.12992133,20170429
47020,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-06-01,57.92,78.98,,8.500372,300.0,27.066974,,,0.0393701,20170601
47021,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-06-19,69.08,87.98,,9.395148,300.0,42.949248,,,1.01968559,20170619
47022,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-06-24,69.98,84.02,,8.94776,300.0,25.948504,,,0.7086618,20170624
47023,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-07-16,62.96,86.0,,3.131716,300.0,12.974252,,,0.0,20170716
47024,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-07-31,64.04,87.08,,2.23694,300.0,14.092722,,,0.0,20170731
47025,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-08-12,68.0,86.0,,2.23694,300.0,35.119958,,,0.72047283,20170812
47026,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-08-22,71.06,93.02,,7.158208,300.0,40.936002,,,0.09842525,20170822
47027,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-09-08,51.08,75.02,,6.487126,300.0,25.053728,,,0.0,20170908
47042,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-01-04,32.0,55.04,46.58,11.408394,300.0,40.041226,0.0,0.0,0.01181103,20170104
47043,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-01-05,26.24,35.06,32.54,6.487126,300.0,19.908766,0.1181103,0.0,0.0,20170105
47044,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-01-13,41.0,62.06,55.76,8.500372,300.0,25.948504,0.0,0.0,0.0,20170113
47045,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-01-24,37.04,48.92,40.82,13.42164,300.0,38.922756,0.0,0.0,0.01181103,20170124
47046,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-02-08,51.08,71.96,64.4,8.500372,300.0,27.96175,0.0,0.0,0.0,20170208
47047,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-02-09,24.26,51.08,40.64,16.105968,300.0,48.988986,0.0,0.0,0.24015761,20170209
47048,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-02-12,41.0,50.0,45.32,9.171454,300.0,50.107456,0.0,0.0,0.22047256,20170212
47049,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-02-15,28.22,53.96,37.22,10.289924,300.0,44.067718,0.0,0.0,0.0,20170215
47050,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-02-25,42.98,75.02,60.26,11.408394,300.0,35.119958,0.0,0.0,0.75196891,20170225
47051,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-03-04,20.12,41.0,30.92,9.171454,300.0,31.093466,0.0,0.0,0.0,20170304
47052,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-03-08,48.02,66.02,57.56,14.987498,300.0,51.002232,0.0,0.0,0.0,20170308
47053,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-03-09,46.04,71.06,59.54,10.961006,300.0,34.001488,0.0,0.0,0.0,20170309
47054,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-03-10,28.22,53.96,45.68,13.645334,300.0,46.080964,0.0,0.0,0.12992133,20170310
47055,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-03-12,23.18,39.02,30.02,7.381902,300.0,25.948504,0.0,0.0,0.0,20170312
47056,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-03-22,31.1,53.06,47.12,12.750558,300.0,35.119958,0.0,0.0,0.0,20170322
47057,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-06-02,53.06,80.06,68.9,7.605596,300.0,31.093466,0.0,0.0,0.0,20170602
47058,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-06-06,62.06,78.08,69.44,8.052984,300.0,23.935258,0.0,0.0,0.0,20170606
47059,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-07-08,68.0,87.08,79.16,9.842536,300.0,33.106712,0.0,0.0,0.0,20170708
47060,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-07-24,71.06,91.04,79.16,6.039738,300.0,31.093466,0.0,0.0,0.03149608,20170724
47061,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-09-05,66.92,87.98,75.02,6.039738,300.0,35.119958,0.0,0.0,0.64173263,20170905
47062,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-09-07,53.96,71.96,63.14,8.724066,300.0,25.948504,0.0,0.0,0.0,20170907
47218,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-01-04,37.94,57.02,,8.500372,300.0,21.027236,,,0.0,20170104
47219,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-03-10,31.1,55.94,,12.526864,300.0,36.014734,,,0.12992133,20170310
47220,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-03-11,24.26,37.94,,12.079476,300.0,31.988242,,,0.0,20170311
47221,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-04-07,44.06,51.98,,12.750558,300.0,33.106712,0.0,0.0,0.0,20170407
47222,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-05-07,44.06,62.06,,8.724066,300.0,27.066974,0.0,0.0,0.05118113,20170507
49983,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-01-26,41.0,64.04,,15.434886,290.0,44.962494,,,0.0,20170126
49984,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-03-02,39.92,62.06,,18.119214,290.0,40.936002,,,0.0,20170302
49985,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-05-07,44.96,64.94,,12.30317,290.0,36.014734,,,0.0,20170507
49986,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-06-24,68.0,89.06,,10.06623,290.0,36.014734,,,0.01968505,20170624
49987,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-07-15,75.02,96.98,,7.381902,290.0,25.948504,,,0.0,20170715
55057,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-01-01,35.96,51.08,,5.816044,290.0,23.040482,,,0.0,20170101
55058,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-01-18,39.92,51.98,,8.276678,290.0,25.948504,,,0.01181103,20170118
55059,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-02-08,44.96,62.96,,8.052984,290.0,27.96175,,,0.01181103,20170208
55060,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-02-15,33.98,48.02,,13.197946,290.0,42.949248,,,0.0,20170215
55061,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-02-16,25.16,35.96,,16.553356,290.0,38.922756,,,0.0,20170216
55062,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-02-25,37.94,69.08,,16.105968,290.0,40.936002,,,0.03149608,20170225
55063,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-02-26,30.2,44.06,,12.750558,290.0,33.106712,,,0.0,20170226
55064,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-03-11,20.12,33.08,,13.42164,290.0,34.001488,,,0.0,20170311
55065,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-03-20,32.0,48.92,,2.908022,290.0,14.092722,,,0.0,20170320
55066,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-03-21,42.08,59.0,,6.934514,290.0,25.053728,,,0.03149608,20170321
55067,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-04-08,33.08,60.98,,9.842536,290.0,29.974996,,,0.0,20170408
55068,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-05-02,60.08,73.04,,13.42164,290.0,46.97574,,,0.01968505,20170502
55069,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-05-08,39.02,62.06,,10.06623,290.0,29.08022,,,0.0,20170508
55070,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-05-15,46.04,75.02,,10.06623,290.0,29.974996,,,0.0,20170515
55071,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-05-26,57.92,69.08,,9.171454,290.0,27.066974,,,0.01181103,20170526
55072,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-05-29,64.04,82.04,,6.263432,290.0,23.040482,,,0.0,20170529
55073,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-07-07,71.96,89.06,,8.052984,290.0,27.96175,,,0.05118113,20170707
55074,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-07-09,62.96,82.04,,4.026492,290.0,17.000744,,,0.0,20170709
55075,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-07-20,73.94,95.0,,5.816044,290.0,19.01399,,,0.0,20170720
55076,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-08-01,64.94,87.98,,3.131716,290.0,12.974252,,,0.0,20170801
55077,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-08-30,60.08,78.98,,2.908022,290.0,12.974252,,,0.0,20170830
55078,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-09-05,62.06,84.02,,7.158208,290.0,63.081708,,,0.6692917,20170905
55093,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-01-08,13.1,23.18,17.96,13.42164,290.0,35.119958,0.0,0.0,0.0,20170108
55094,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-01-18,39.92,57.02,47.48,7.82929,290.0,27.96175,0.0,0.0,0.0,20170118
55095,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-01-30,25.16,37.94,34.88,8.94776,290.0,31.988242,0.0,0.0,0.0,20170130
55096,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-02-01,29.12,48.92,40.82,7.158208,290.0,21.922012,0.0,0.0,0.0,20170201
55097,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-02-04,17.24,37.94,29.12,6.263432,290.0,25.053728,0.0,0.0,0.0,20170204
55098,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-02-13,27.14,44.06,40.82,18.119214,290.0,48.988986,0.0,0.0,0.0,20170213
55099,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-03-02,35.06,62.06,51.8,19.908766,290.0,48.988986,0.0,0.0,0.01181103,20170302
55100,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-03-03,28.22,42.08,37.4,14.987498,290.0,42.949248,0.0,0.0,0.0,20170303
55101,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-03-14,23.18,35.96,31.64,16.105968,290.0,44.067718,0.5905515,1.968505,1.11811084,20170314
55102,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-04-05,53.06,71.06,64.58,9.171454,290.0,27.066974,0.0,0.0,0.0,20170405
55103,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-04-07,39.92,48.92,47.3,19.685072,290.0,38.922756,0.0,0.0,0.0,20170407
55104,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-04-08,35.06,62.06,46.94,11.408394,290.0,31.988242,0.0,0.0,0.0,20170408
55105,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-05-03,46.94,64.94,60.98,10.513618,290.0,42.949248,0.0,0.0,0.0,20170503
55106,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-05-07,44.96,62.96,51.98,10.737312,290.0,35.119958,0.0,0.0,0.0,20170507
55107,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-05-14,42.98,78.08,58.64,10.513618,290.0,40.936002,0.0,0.0,0.0,20170514
55108,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-05-26,55.94,75.02,64.04,12.079476,290.0,38.02798,0.0,0.0,0.0,20170526
55109,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-06-01,57.02,80.96,69.62,8.500372,290.0,29.08022,0.0,0.0,0.0,20170601
55279,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-01-08,13.1,22.1,,10.737312,290.0,34.001488,,,0.0,20170108
55280,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-02-16,31.1,39.92,,11.855782,290.0,38.02798,,,0.0,20170216
